Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Кременчуг;Отделение №1: ул. 1-й Песчаній тупик, 1;(0532) 696-196;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 08:00, Вт: 08:00, Ср: 08:00, Чт: 08:00, Пт: 08:00, Сб: 08:00, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 17:00, Вс: Выходной
Кременчуг;Отделение №2 (до 30 кг): ул. Октябрьская,31/16(Центр);(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 09:00, Вт: 09:00, Ср: 09:00, Чт: 09:00, Пт: 09:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 15:00, Вс: Выходной
Кременчуг;Отделение №3 (до 30 кг): ул. 60-летия Октября, 83/1;(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 15:00, Вс: Выходной
Кременчуг;Отделение №4 (до 30 кг): ул. Гагарина, 13;(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 14:30, Вс: Выходной
Кременчуг;Отделение №5 (до 30 кг): ул. И. Приходька, 28 (Крюков);(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 16:30, Вс: Выходной
Кременчуг;Отделение №6 (до 30 кг): ул. 50 лет Октября, 96 (Торговый центр Простор);(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 15:30, Вс: Выходной
Кременчуг;Отделение № 7: ул. 50 лет СССР, 51-Б (Авторынок) ;(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 09:00, Вт: 09:00, Ср: 09:00, Чт: 09:00, Пт: 09:00, Сб: 09:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 16:30, Вс: Выходной
Кременчуг;Отделение №8 (до 30 кг): ул. Квартал 101, 2 (Водоканал);(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 10:30, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 16:00, Вс: Выходной
Кременчуг;Отделение №9 (до 30 кг на одно место): просп. 50-летия Октября, 10;(0532) 696-196;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 15:00, Вс: Выходной
