Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Сумы;Отделение №1: ул. 2-я Лебединская, 2а;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 08:00, Вт: 08:00, Ср: 08:00, Чт: 08:00, Пт: 08:00, Сб: 08:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №2 (до 30 кг): ул. Антонова, 11/1;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №3: ул. Харьковская, 105;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №4 (до 30 кг): просп. Тараса Шевченка, 4;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №5: ул. Воровского, 20;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №6 (до 30 кг): пл. Независимости, 1;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №7 (до 30 кг на одно место): ул. Белопольский путь, 30/3;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №8 (до 30 кг): просп. Михаила Лушпы, 13;(0542) 702-434;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Сумы;Отделение №9 (до 30 кг на одно место): ул. Екатерины Зеленко, 4;(0542) 70-24-34;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
