Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Днепродзержинск;Отделение №1: бул. Независимости, 2а;(056) 795-99-09;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Днепродзержинск;Отделение №2 (до 30 кг на одно место): ул. Кирова, 12;(056) 795-99-09;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Днепродзержинск;Отделение №3 (до 30 кг на одно место): просп. Металлургов, 6 б;(056) 795-99-09;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:30, Вт: 14:30, Ср: 14:30, Чт: 14:30, Пт: 14:30, Сб: 14:30, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 16:00, Вс: Выходной
Днепродзержинск;Отделение №4 (до 30 кг на одно место): просп. Конституции, 30;(056) 795-99-09;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 15:00, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 15:00, Вс: Выходной
Днепродзержинск;Отделение № 5 (до 30 кг): просп. Комсомольский, 18;(056) 795-99-09;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Днепродзержинск;Отделение №6 (до 30 кг): просп. Ленина, 70;(056) 795-99-09;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Днепродзержинск;Отделение №7 (до 30 кг): ул. Сыровца, 6;(056) 795-99-09;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
Днепродзержинск;Отделение №8  (до 30 кг): просп. Победы, 2б;(056) 795-99-09;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 16:00, Вс: Выходной
Днепродзержинск;"Відділення №9: ул. Малая Садовая, 19а (База ""Широка"")";(056) 795-99-09;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 14:00, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: До 15:30, Вт: До 15:30, Ср: До 15:30, Чт: До 15:30, Пт: До 15:30, Сб: До 15:30, Вс: Выходной
