Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Кривой Рог;Отделение № 12 (до 30 кг на одно место): просп. Южный, 17, кв. 83;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение №13 (до 30 кг на одно место): ул. Мелешкина, 9, пом. 3;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение № 14 (до 30 кг на одно место): ул. Лисового, 9 а;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:30, Вс: Выходной
Кривой Рог;Отделение №15 (до 30 кг на одно место): просп. Мира, 5а ;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение №16 (до 30 кг на одно место): вул. Электрозаводская, 10а;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:30, Вс: Выходной
Кривой Рог;Отделение № 17 (до 30 кг на одно место): ул. Федоренко, 5а;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:30, Вт: 13:30, Ср: 13:30, Чт: 13:30, Пт: 13:30, Сб: 13:30, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 16:00, Вс: Выходной
Кривой Рог;Отделение №18: ул. Тбилисская, 4;(056) 499-96-30;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 16:30, Вт: До 16:30, Ср: До 16:30, Чт: До 16:30, Пт: До 16:30, Сб: До 16:00, Вс: Выходной
Кривой Рог;Отделение №19 (до 30 кг на одно место): ул. Мусоргского, 20;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 16:30, Вт: До 16:30, Ср: До 16:30, Чт: До 16:30, Пт: До 16:30, Сб: До 16:00, Вс: Выходной
Кривой Рог;Отделение №20: микрорайон Солнечный, 41а;(056) 499-96-30;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение №21: ул. Адмирала Головко, 44а;(056) 499-96-30;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 15:30, Вс: Выходной
Кривой Рог;"Отделение № 22 (до 30 кг), ТОЧКА ВЫДАЧИ ""ПРИВАТ БАНКА"": ул. Кремлевская, 25";(056) 499-96-30;Пн: 08:30-17:30, Вт: 08:30-17:30, Ср: 08:30-17:30, Чт: 08:30-17:30, Пт: 08:30-17:30, Сб: 08:30-15:30, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 16:30, Вт: До 16:30, Ср: До 16:30, Чт: До 16:30, Пт: До 16:30, Сб: До 15:00, Вс: Выходной
