Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Кировоград;Отделение №1: ул. Родниковая, 88а;(0522) 305-121;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Кировоград;Отделение №2: ул. Полтавская, 83;(0522) 305-121;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение №3 (до 30 кг на одно место): ул. Кирова, 85;(0522) 305-121;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение №4 (до 30 кг на одно место): ул. Волкова, 13в;(0522) 305-121;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение №5 (до 30 кг): ул. Шевченко, 16б;(0522) 305-121;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение № 6 (до 30 кг на одне місце): ул. Короленко, 32 а;(0522) 305-121;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение №7 (до 30 кг на одно место): ул. Космонавта Попова 26, корп. 1;(0522) 305-121;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кировоград;Отделение № 8 (до 30 кг на одно место): ул. Октябрьской Революции, 66а;(0522) 30-51-21;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
